Frequency,Density
1123,140.8553863
1124,145.8254883
1125,152.0147797
1126,148.6693726
1127,142.5746979
1128,139.5410767
1129,137.5738846
1130,134.2814285
1131,130.4431229
1132,129.3997482
1133,129.6951797
1134,133.6144409
1135,139.5265503
1136,139.3727753
1137,135.4290207
1138,134.3790268
1139,135.3655517
1140,136.1866821
1141,136.8776642
1142,137.7269409
1143,138.7146454
1144,140.557132
1145,143.2255066
1146,141.5312012
1147,135.2024078
1148,134.2248566
1149,139.4690094
1150,139.9544464
1151,134.4101593
1152,130.4493012
1153,128.6661438
1154,130.4298721
1155,137.4676025
1156,140.1987121
1157,136.033075
1158,133.0348846
1159,132.0424789
1160,131.505043
1161,131.8029419
1162,131.7981949
1163,131.2020416
1164,130.3144318
1165,128.8231598
1166,128.455748
1167,130.5447678
1168,132
1169,132
1170,131.7364014
1171,130.8400391
1172,130.7984329
1173,132.8911881
1174,134.4834717
1175,134.7826096
1176,136.2543152
1177,140.8438934
1178,141.8120789
1179,132.9269592
1180,127.5400131
1181,131.8353821
1182,135.2368103
1183,136.1363709
1184,135.7245377
1185,131.6240829
1186,128.6000015
1187,128.5999985
1188,128.7849777
1189,129.4858902
1190,130.1068039
1191,130.5075638
1192,129.7703186
1193,125.9608505
1194,120.7977783
1195,112.0709045
1196,108.991835
1197,120.3334808
1198,128.1389954
1199,127.2351379
1200,126.3311264
1201,125.4267334
1202,124.1208786
1203,121.9088287
1204,120.9117386
1205,122.5214615
1206,125.360585
1207,130.6959595
1208,132.12556
1209,126.0819244
1210,123.5338501
1211,127.2629761
1212,127.8306015
1213,123.0907837
1214,120.357457
1215,120.761087
1216,122.2360992
1217,125.2651123
1218,125.3597977
1219,121.5207596
1220,122.250412
1221,128.6189117
1222,130.7189194
1223,127.9879379
1224,125.3557007
1225,122.8255112
1226,123.532074
1227,127.278984
1228,130.424443
1229,133.0589737
1230,130.6939255
1231,124.5092407
1232,123.085202
1233,124.9112763
1234,126.4851349
1235,127.9062607
1236,125.8813171
1237,122.0216782
1238,123.5784485
1239,127.6436401
1240,129.4548752
1241,130.3700912
1242,132.8856888
1243,135.938208
1244,132.6928192
1245,127.704068
1246,123.7972259
1247,120.1298416
1248,119.5127945
1249,119.4108627
1250,123.227237
1251,127.5109406
1252,124.1836456
1253,120.3056076
1254,119.1073318
1255,118.0347687
1256,120.4869705
1257,122.9044418
1258,124.7446869
1259,126.1635559
1260,123.8107345
1261,122.1422913
1262,124.4965134
1263,126.2627365
1264,125.5458084
1265,124.8532394
1266,124.2383621
1267,124.0943634
1268,125.1197662
1269,126.3871353
1270,128.1313553
1271,128.5637878
1272,126.9211914
1273,125.2781662
1274,123.6345917
1275,120.11866
1276,114.6710892
1277,117.650766
1278,127.6267853
1279,128.5658554
1280,123.5234283
1281,120.6478256
1282,118.8973724
1283,115.2285553
1284,110.7983017
1285,111.5569259
1286,113.8249145
1287,117.5575973
1288,121.5805115
1289,126.6225281
1290,131.7831787
1291,129.5266129
1292,126.8783844
1293,121.1949127
1294,116.9688065
1295,128.2391098
1296,136.7957077
1297,130.1743469
1298,123.9367157
1299,119.0712631
1300,115.7187256
1301,116.1330536
1302,116.8055374
1303,117.9456131
1304,120.2788437
1305,124.219635
1306,122.8962601
1307,116.255188
1308,113.9918961
1309,115.0301804
1310,116.7377274
1311,118.8155304
1312,121.5666229
1313,124.5812302
1314,121.3974487
1315,116.6128128
1316,115.0017975
1317,113.8569656
1318,113.0083542
1319,112.3021393
1320,115.7407196
1321,118.8460022
1322,119.2630493
1323,119.23936
1324,117.3615402
1325,116.2582947
1326,117.1977646
1327,118.1749237
1328,119.2194
1329,119.6143402
1330,119.1963013
1331,116.0602386
1332,110.5179397
1333,108.5292984
1334,108.7385666
1335,110.0573334
1336,111.8371658
1337,112.2000015
1338,112.1999985
1339,111.4562042
1340,110.6176392
1341,116.4525742
1342,122.733728
1343,132.9134216
1344,138.902475
1345,123.8863785
1346,115.1372391
1347,124.0681976
1348,126.6742569
1349,117.9482544
1350,114.7345016
1351,118.1007462
1352,117.965416
1353,115.0182007
1354,110.8979568
1355,106.1585495
1356,105.3981094
1357,105.9250244
1358,106.8139709
1359,107.7629791
1360,107.6986084
1361,107.4480988
1362,105.1255402
1363,103.2902863
1364,103.818454
1365,103.9946091
1366,103.2547333
1367,103.7782074
1368,106.3164307
1369,106.2399872
1370,103.4886154
1371,106.1754318
1372,112.4226425
1373,115.0338592
1374,116.1992859
1375,114.4694275
1376,112.1371872
1377,109.8036453
1378,107.4462936
1379,104.6867355
1380,102.7821259
1381,105.0123261
1382,107.0286057
1383,108.5162888
1384,109.2705002
1385,108.9515213
1386,109.8611938
1387,111.8825958
1388,114.3854767
1389,117.1532455
1390,112.6575607
1391,105.947055
1392,107.3784286
1393,109.7935287
1394,109.2603165
1395,108.1727112
1396,103.5843521
1397,101.0124863
1398,104.1087997
1399,105.8752594
1400,105.5547608
1401,98.26904144
1402,84.47941589
1403,87.13325501
1404,98.79187928
1405,104.4740143
1406,108.4338791
1407,105.4956772
1408,102.0726837
1409,103.8942444
1410,105.623053
1411,106.9096237
1412,106.7428497
1413,103.3099533
1414,102.3524033
1415,104.4992386
1416,108.7663986
1417,114.5662934
1418,110.7961716
1419,103.27332
1420,100.9093277
1421,99.40386199
1422,74.07225342
1423,55.70781555
1424,81.00814209
1425,99.26053314
1426,99.47598268
1427,99.37127992
1428,98.83233796
1429,103.0177826
1430,110.783194
1431,110.1469376
1432,106.1540085
1433,103.6470184
1434,101.4568848
1435,107.7235107
1436,111.8042969
1437,104.2366348
1438,100.7992874
1439,106.6406662
1440,107.9612106
1441,103.9564087
1442,104.3863648
1443,107.6354324
1444,106.5769531
1445,104.1928894
1446,103.9003403
1447,103.8890289
1448,105.0824783
1449,105.2219254
1450,101.8565735
1451,100.4336563
1452,102.0630203
1453,101.788031
1454,99.94032286
1455,101.6315674
1456,104.7854141
1457,102.5536301
1458,99.49334105
1459,96.00910186
1460,94.48774261
1461,101.1335174
1462,103.7998535
1463,99.33036957
1464,98.45588227
1465,100.8555664
1466,98.66395111
1467,94.40744476
1468,97.91934661
1469,102.6424393
1470,104.2815033
1471,104.594957
1472,99.45617522
1473,96.32023773
1474,96.64844057
1475,97.2124115
1476,97.97867126
1477,95.55161896
1478,91.82757721
1479,97.70581206
1480,104.214859
1481,101.1443573
1482,99.11138916
1483,100.4281006
1484,100.8820053
1485,100.1134689
1486,100.0601944
1487,100.4996201
1488,98.2252838
1489,95.14748535
1490,92.80095978
1491,91.16779022
1492,93.91908722
1493,94.9639328
1494,92.32111816
1495,92.87351684
1496,96.61972656
1497,96.06318665
1498,93.52748566
1499,97.81119232
1500,102.4999649
1501,97.31215362
1502,94.16041565
1503,97.25286102
1504,97.41352081
1505,93.76669159
1506,94.47408143
1507,97.79134828
1508,96.68352661
1509,94.60982513
1510,95.71689301
1511,96.06217194
1512,93.40363007
1513,93.25136108
1514,96.90902557
1515,97.87443085
1516,96.98719788
1517,97.32533569
1518,97.991156
1519,97.56175689
1520,96.47869568
1521,92.59014435
1522,91.35660248
1523,94.35812531
1524,92.33946228
1525,86.77779236
1526,89.10918274
1527,93.56116181
1528,94.48315124
1529,95.26531677
1530,95.5996109
1531,95.53203125
1532,94.86304321
1533,94.73539276
1534,94.95852356
1535,92.45540314
1536,89.55560761
1537,96.48076783
1538,101.6704117
1539,101.1116012
1540,99.26638489
1541,95.79969635
1542,96.35613251
1543,99.04161224
1544,97.4596054
1545,95.27419128
1546,93.70580139
1547,91.74040222
1548,88.82595368
1549,89.63406525
1550,94.00833282
1551,95.52661439
1552,95.97552185
1553,91.32848816
1554,87.6434082
1555,90.34005585
1556,90.48724365
1557,86.55230102
1558,83.36521912
1559,80.66537323
1560,88.67739563
1561,98.18256836
1562,93.90274201
1563,89.80818329
1564,86.20198211
1565,86.99510193
1566,92.18209076
1567,91.05846253
1568,87.56081391
1569,85.78444366
1570,79.86574249
1571,55.01426773
1572,50.31735229
1573,74.39236145
1574,84.67117615
1575,87.27236481
1576,88.09454498
1577,88.70870514
1578,89.72776795
1579,90.24576111
1580,89.7925766
1581,88.68732453
1582,87.10023651
1583,87.71972504
1584,88.59454956
1585,84.28162537
1586,82.65897522
1587,87.76941223
1588,88.76990204
1589,86.04272308
1590,83.48811493
1591,81.01631164
1592,84.08802795
1593,86.14660187
1594,85.12209168
1595,84.09728241
1596,83.07216186
1597,86.90185089
1598,92.48635864
1599,91.59455261
1600,90.95461273
1601,91.63924103
1602,89.89360962
1603,85.44089356
1604,84.28240356
1605,84.39664307
1606,84.4
1607,84.45054169
1608,84.6792923
1609,83.71892853
1610,81.4300705
1611,82.62574921
1612,85.14498596
1613,81.27732544
1614,78.4133667
1615,79.33053741
1616,81.92787628
1617,86.28702087
1618,82.44239197
1619,75.82093201
1620,85.12379913
1621,90.92084198
1622,86.78378601
1623,83.60303192
1624,81.30330353
1625,81.24937134
1626,81.84438324
1627,82.88048706
1628,84.16315765
1629,86.00620727
1630,85.09394836
1631,82.09721985
1632,81.31142426
1633,81.95664062
1634,91.53445282
1635,87.73443298
1636,60.83140411
1637,63.1698143
1638,82.34812317
1639,80.75354919
1640,77.49974976
1641,76.92140503
1642,78.50246735
1643,82.78474732
1644,82.75587768
1645,81.01878815
1646,83.86552277
1647,86.06102753
1648,86.29291077
1649,86.15025635
1650,85.68621216
1651,78.41688995
1652,70.64382248
1653,73.31524506
1654,76.03017578
1655,78.81939392
1656,81.30807037
1657,83.63379517
1658,81.53116302
1659,79.9173233
1660,81.43083191
1661,80.76772461
1662,77.85540466
1663,80.63253784
1664,84.38625793
1665,77.38841858
1666,76.09481811
1667,85.66418457
1668,85.66607361
1669,80.06118164
1670,84.21063538
1671,87.02027588
1672,81.29184418
1673,78.57377014
1674,78.92469788
1675,77.98877106
1676,77.15921478
1677,81.84378662
1678,82.59503937
1679,76.61867828
1680,74.91059113
1681,75.37960205
1682,74.61446381
1683,74.17735443
1684,74.88170471
1685,75.90818176
1686,77.20025482
1687,74.31981659
1688,71.03098755
1689,69.85498962
1690,68.99147339
1691,68.5207962
1692,71.72583771
1693,76.19477081
1694,80.553685
1695,82.37736969
1696,79.4304184
1697,80.24096222
1698,83.07170868
1699,73.39780578
1700,66.62902222
1701,69.81737595
1702,71.93610382
1703,73.23582916
1704,73.19341125
1705,73.30146179
1706,74.95761413
1707,75.56735687
1708,75.09389038
1709,71.39190369
1710,67.64109726
1711,69.77421417
1712,71.25218506
1713,71.84506683
1714,72.43820801
1715,72.84270019
1716,69.8747879
1717,69.05002365
1718,71.90090332
1719,73.61372375
1720,74.79541016
1721,72.41687012
1722,70.99052887
1723,71.58551636
1724,71.64770813
