Frequent,Density
764.555166,31349
766.030202,31309
767.504575,31036
768.978285,31523
770.451332,31087
771.923717,31215
773.39544,31205
774.866501,31201
776.3369,31114
777.806639,30568
779.275716,30772
780.744134,30403
782.21189,30151
783.678987,29929
785.145425,29447
786.611203,29754
788.076322,29662
789.540782,29078
791.004583,28921
792.467727,28534
793.930213,28585
795.392041,27957
796.853212,28076
798.313726,27921
799.773584,27720
801.232785,27543
802.69133,27243
804.14922,27262
805.606454,27103
807.063032,27035
808.518956,26756
809.974226,26448
811.428841,26400
812.882802,26444
814.33611,26108
815.788764,26420
817.240766,26041
818.692114,25762
820.14281,25570
821.592854,25768
823.042246,25874
824.490986,25435
825.939075,25306
827.386514,25581
828.833301,25113
830.279438,25349
831.724925,24688
833.169762,25134
834.61395,24963
836.057488,25007
837.500378,25129
838.942619,25201
840.384212,25129
841.825156,25080
843.265453,25120
844.705102,17689
846.144105,25359
847.58246,25165
849.020169,25032
850.457231,24789
851.893648,24423
853.329418,24780
854.764544,24279
856.199024,24250
857.632859,24451
859.06605,23898
860.498597,24067
861.9305,24108
863.361759,23952
864.792374,23656
866.222347,23015
867.651677,22710
869.080364,23164
870.508409,22851
871.935812,22595
873.362574,22606
874.788694,22310
876.214173,22281
877.639011,22544
879.063209,21936
880.486766,22028
881.909684,22043
883.331962,21643
884.753601,21899
886.174601,22067
887.594961,21828
889.014684,22114
890.433768,22046
891.852214,22312
893.270023,22178
894.687194,22449
896.103729,22370
897.519626,22146
898.934887,22415
900.349512,22441
901.763501,22057
903.176854,21766
904.589572,21599
906.001655,21112
907.413103,21427
908.823917,21187
910.234096,20977
911.643642,21054
913.052554,21194
914.460832,21014
915.868477,21136
917.27549,21109
918.68187,20482
920.087618,20546
921.492734,20172
922.897218,19981
924.301071,20023
925.704292,19352
927.106883,18915
928.508844,18857
929.910174,18575
931.310874,18294
932.710944,18414
934.110385,17988
935.509197,17843
936.907379,17912
938.304934,17772
939.70186,17533
941.098158,17322
942.493828,17468
943.88887,17276
945.283286,17392
946.677075,17215
948.070236,17090
949.462772,16761
950.854681,16925
952.245965,16956
953.636623,16986
955.026656,16830
956.416064,16835
957.804847,16991
959.193006,16495
960.58054,16800
961.967451,16836
963.353738,16254
964.739402,16668
966.124442,16552
967.50886,16507
968.892656,16489
970.275829,16343
971.65838,16465
973.04031,16391
974.421618,16336
975.802305,16197
977.182371,16498
978.561816,16411
979.940641,16516
981.318846,16427
982.696432,16403
984.073398,16254
985.449744,16364
986.825472,16428
988.200581,16472
989.575072,16762
990.948944,16788
992.322199,16798
993.694836,16702
995.066855,16729
996.438258,16949
997.809044,16596
999.179213,17112
1000.548766,16530
1001.917703,16927
1003.286024,16643
1004.65373,16782
1006.020821,17225
1007.387297,17206
1008.753158,17710
1010.118405,17354
1011.483038,17922
1012.847057,17929
1014.210462,17773
1015.573254,17940
1016.935433,18150
1018.296999,17847
1019.657953,17807
1021.018295,17801
1022.378025,17795
1023.737143,17759
1025.095649,17744
1026.453544,17670
1027.810829,17573
1029.167503,17536
1030.523566,17566
1031.87902,17988
1033.233863,17812
1034.588097,17973
1035.941722,18231
1037.294738,17970
1038.647145,18237
1039.998943,18174
1041.350133,18041
1042.700716,18410
1044.05069,18188
1045.400057,17941
1046.748817,18222
1048.09697,18207
1049.444516,18278
1050.791456,18522
1052.13779,18705
1053.483518,18749
1054.82864,19024
1056.173157,19272
1057.517069,19607
1058.860376,19991
1060.203079,20161
1061.545177,20306
1062.886671,20563
1064.227562,20326
1065.567848,20036
1066.907532,20053
1068.246613,19581
1069.585091,19578
1070.922966,18974
1072.260239,19078
1073.596911,18709
1074.93298,18853
1076.268448,18635
1077.603315,18104
1078.937581,18552
1080.271247,18205
1081.604312,17847
1082.936776,17384
1084.268641,17299
1085.599907,16692
1086.930573,16607
1088.260639,16512
1089.590107,16664
1090.918977,16596
1092.247248,16833
1093.574921,16350
1094.901996,16987
1096.228474,16807
1097.554354,16770
1098.879637,17139
1100.204323,17360
1101.528413,17450
1102.851907,17676
1104.174804,17700
1105.497106,17966
1106.818812,18194
1108.139923,18046
1109.460439,18091
1110.78036,18388
1112.099687,18737
1113.41842,18463
1114.736558,19124
1116.054103,19200
1117.371054,19378
1118.687412,19845
1120.003177,19664
1121.318349,20080
1122.632929,20227
1123.946916,20226
1125.260312,20359
1126.573116,19833
1127.885328,19773
1129.196949,19478
1130.507979,19041
1131.818419,19042
1133.128268,18777
1134.437527,18667
1135.746195,17853
1137.054275,17409
1138.361764,16834
1139.668665,16579
1140.974976,16294
1142.280699,15845
1143.585833,15713
1144.890379,15616
1146.194337,15440
1147.497708,15288
1148.800491,15105
1150.102687,14895
1151.404295,14979
1152.705318,14837
1154.005753,15178
1155.305603,15207
1156.604866,14938
1157.903544,14704
1159.201636,14861
1160.499143,14310
1161.796065,14390
1163.092402,14423
1164.388155,14120
1165.683324,13873
1166.977908,13786
1168.271909,13535
1169.565326,13464
1170.85816,13852
1172.150411,13439
1173.44208,13191
1174.733165,13238
1176.023669,13464
1177.31359,13236
1178.60293,13298
1179.891688,13270
1181.179865,13101
1182.467461,13232
1183.754476,12909
1185.04091,13196
1186.326765,13097
1187.612039,13171
1188.896733,13027
1190.180848,13327
1191.464383,13231
1192.747339,13009
1194.029717,13128
1195.311515,13498
1196.592736,13220
1197.873378,13530
1199.153442,13423
1200.432929,13513
1201.711838,13734
1202.990171,13463
1204.267926,13306
1205.545105,13426
1206.821707,13675
1208.097733,13515
1209.373183,13558
1210.648057,13419
1211.922356,13354
1213.196079,13114
1214.469228,13370
1215.741802,13115
1217.013801,13168
1218.285226,13255
1219.556077,13097
1220.826355,13371
1222.096058,13266
1223.365189,12998
1224.633746,13118
1225.90173,12895
1227.169142,12844
1228.435982,13090
1229.702249,12951
1230.967945,13125
1232.233069,12840
1233.497621,13007
1234.761602,12837
1236.025013,13128
1237.287852,12731
1238.550121,12733
1239.81182,12836
1241.072949,12661
1242.333509,12912
1243.593498,12752
1244.852919,12739
1246.11177,12506
1247.370053,12963
1248.627767,12938
1249.884912,12862
1251.14149,12924
1252.397499,12724
1253.652942,12864
1254.907816,12901
1256.162124,12765
1257.415864,13009
1258.669038,13148
1259.921646,13185
1261.173687,12529
1262.425162,12613
1263.676071,13227
1264.926415,13497
1266.176194,13345
1267.425408,13617
1268.674056,13191
1269.92214,13382
1271.16966,13381
1272.416616,13147
1273.663008,13393
1274.908836,13092
1276.1541,12860
1277.398802,12731
1278.64294,12772
1279.886516,12759
1281.129529,12213
1282.37198,12534
1283.613869,12700
1284.855196,12534
1286.095962,12710
1287.336166,12817
1288.575809,12321
1289.814891,12346
1291.053413,12507
1292.291374,12189
1293.528775,12045
1294.765616,12123
1296.001897,12259
1297.237618,12358
1298.472781,12445
1299.707384,12325
1300.941428,12192
1302.174914,12348
1303.407842,12106
1304.640211,12419
1305.872022,12383
1307.103276,12378
1308.333972,12387
1309.564111,12543
1310.793693,12806
1312.022719,12772
1313.251187,12581
1314.4791,12998
1315.706456,13064
1316.933256,13021
1318.159501,12591
1319.38519,12921
1320.610324,13160
1321.834903,13029
1323.058928,13251
1324.282398,13300
1325.505313,13291
1326.727675,13295
1327.949482,13313
1329.170736,13488
1330.391437,13412
1331.611584,13322
1332.831179,13164
1334.050221,13221
1335.26871,13257
1336.486647,13249
1337.704032,13113
1338.920865,13402
1340.137147,12939
1341.352877,13195
1342.568056,12933
1343.782684,12669
1344.996761,12986
1346.210288,12794
1347.423265,13004
1348.635691,12971
1349.847568,12823
1351.058895,12747
1352.269673,13091
1353.479901,12841
1354.689581,13006
1355.898712,13052
1357.107294,13086
1358.315329,13216
1359.522815,13175
1360.729753,13384
1361.936144,13342
1363.141987,13286
1364.347283,13393
1365.552032,13342
1366.756235,13251
1367.959891,13339
1369.163,13286
1370.365564,13567
1371.567582,13010
1372.769054,13338
1373.96998,13116
1375.170362,13216
1376.370198,13104
1377.56949,12908
1378.768237,12849
1379.96644,12847
1381.164099,12530
1382.361214,12786
1383.557785,12608
1384.753813,12595
1385.949297,12460
1387.144239,12563
1388.338637,12421
1389.532493,12142
1390.725807,12096
1391.918579,11967
1393.110808,12030
1394.302496,12023
1395.493643,11961
1396.684248,11597
1397.874312,11490
1399.063835,11459
1400.252818,11518
1401.44126,11241
1402.629162,11099
1403.816524,10951
1405.003346,11192
1406.189629,10776
1407.375372,10999
1408.560576,10986
1409.745241,10892
1410.929368,11228
1412.112956,10845
1413.296006,10894
1414.478517,10735
1415.660491,10785
1416.841927,10654
1418.022826,10863
1419.203188,10869
1420.383012,10604
1421.5623,10643
1422.741051,10784
1423.919266,10638
1425.096945,10539
1426.274088,10728
1427.450695,10756
1428.626766,10873
1429.802302,10430
1430.977303,10654
1432.15177,10626
1433.325701,10373
1434.499098,10799
1435.671961,10645
1436.84429,10438
1438.016085,10700
1439.187347,10641
1440.358075,10704
1441.528269,10625
1442.697931,10603
1443.86706,10521
1445.035657,10597
1446.203721,10573
1447.371253,10489
1448.538253,10652
1449.704721,10725
1450.870658,10821
1452.036064,10763
1453.200938,10927
1454.365282,10703
1455.529094,11207
1456.692377,11063
1457.855129,11120
1459.017351,11168
1460.179043,10988
1461.340206,10986
1462.500839,11212
1463.660943,10890
1464.820517,10777
1465.979563,10465
1467.138081,-55
1468.29607,10363
1469.453531,10386
1470.610464,10257
1471.766869,9871
1472.922746,9829
1474.078096,9582
1475.232919,9545
1476.387215,9281
1477.540985,9856
1478.694227,9307
1479.846944,9551
1480.999134,9273
1482.150798,9465
1483.301937,8934
1484.45255,9110
1485.602637,9050
1486.7522,9093
1487.901238,9289
1489.049751,9263
1490.197739,9024
1491.345203,8998
1492.492144,8951
1493.63856,9047
1494.784452,9368
1495.929821,9410
1497.074667,9301
1498.21899,9510
1499.36279,9076
1500.506067,9211
1501.648821,8993
1502.791054,9095
1503.932764,9055
1505.073953,9311
1506.21462,9226
1507.354765,9135
1508.494389,9512
1509.633492,9388
1510.772074,9526
1511.910136,9180
1513.047677,9170
1514.184698,9228
1515.321198,9446
1516.457179,9222
1517.592641,9485
1518.727582,9340
1519.862005,9301
1520.995909,9596
1522.129293,9203
1523.262159,9685
1524.394507,9373
1525.526336,9275
1526.657647,9372
1527.788441,9466
1528.918717,9589
1530.048475,9711
1531.177716,9848
1532.30644,9801
1533.434647,9756
1534.562338,9697
1535.689512,9634
1536.816169,10091
1537.942311,9873
1539.067937,10087
1540.193047,10035
1541.317642,10003
1542.441721,10084
1543.565285,10127
1544.688335,10080
1545.81087,10100
1546.93289,10124
1548.054396,10089
1549.175388,10102
1550.295866,10273
1551.41583,10322
1552.535281,10360
1553.654218,10275
1554.772643,10410
1555.890554,10571
1557.007953,10369
1558.124839,10630
1559.241213,10774
1560.357075,11066
1561.472424,10572
1562.587262,10817
1563.701589,10832
1564.815404,10633
1565.928708,10863
1567.041501,10838
1568.153783,11205
1569.265555,10864
1570.376816,11019
1571.487567,10730
1572.597808,11024
1573.707539,11289
1574.816761,11202
1575.925473,11410
1577.033676,11605
1578.14137,11243
1579.248555,11523
1580.355231,11330
1581.461399,11779
1582.567059,11925
1583.672211,11760
1584.776854,12164
1585.88099,12417
1586.984619,12114
1588.08774,12379
1589.190354,12158
1590.292462,12455
1591.394062,12705
1592.495156,12493
1593.595744,12726
1594.695825,12954
1595.795401,12530
1596.89447,13315
1597.993034,12955
1599.091093,13155
1600.188647,13417
1601.285695,13525
1602.382239,13616
1603.478278,13790
1604.573812,14024
1605.668843,13837
1606.763369,14027
1607.857391,14295
1608.95091,14538
1610.043925,14717
1611.136437,14975
1612.228446,14550
1613.319952,15260
1614.410955,15148
