Wave shift,Intensity
2019.591673,3578
2020.491402,3678
2021.390695,3731
2022.289553,3488
2023.187975,3978
2024.085962,3875
2024.983514,3775
2025.88063,3606
2026.777311,4126
2027.673557,3717
2028.569369,3788
2029.464746,3859
2030.359688,3631
2031.254197,3855
2032.148271,3967
2033.04191,4020
2033.935116,4063
2034.827889,4121
2035.720227,4026
2036.612132,3640
2037.503604,3296
2038.394642,3932
2039.285248,3788
2040.17542,3991
2041.06516,3988
2041.954466,3502
2042.843341,3996
2043.731783,3888
2044.619792,3763
2045.50737,3748
2046.394516,3863
2047.281229,3792
2048.167511,3894
2049.053362,4075
2049.938781,4032
2050.823768,3729
2051.708325,3730
2052.59245,3857
2053.476145,3964
2054.359409,3656
2055.242242,3790
2056.124645,3551
2057.006617,4037
2057.888159,3918
2058.769271,3808
2059.649953,3867
2060.530206,3680
2061.410028,3642
2062.289421,3675
2063.168385,3800
2064.046919,3405
2064.925025,3696
2065.802701,3743
2066.679949,3353
2067.556767,3786
2068.433157,3762
2069.309119,3552
2070.184652,3819
2071.059758,3815
2071.934435,3895
2072.808684,3585
2073.682505,3534
