Wave shift,Intensity
907.413103,22738
908.823917,22888
910.234096,22508
911.643642,22710
913.052554,22633
914.460832,22208
915.868477,22580
917.27549,22286
918.68187,22201
920.087618,22139
921.492734,21914
922.897218,21585
924.301071,21313
925.704292,21131
927.106883,20662
928.508844,20573
929.910174,20193
931.310874,19999
932.710944,19962
934.110385,19512
935.509197,19493
936.907379,19415
938.304934,19376
939.70186,19488
941.098158,18871
942.493828,18903
943.88887,18870
945.283286,18753
946.677075,18713
948.070236,18676
949.462772,18788
950.854681,18560
952.245965,19005
953.636623,18849
955.026656,18735
956.416064,18298
957.804847,18788
959.193006,18613
960.58054,18271
961.967451,18340
963.353738,17992
964.739402,18412
966.124442,18227
967.50886,17862
968.892656,18045
970.275829,17942
971.65838,18113
973.04031,18288
974.421618,18071
975.802305,18075
977.182371,18039
978.561816,17999
979.940641,18136
981.318846,18350
982.696432,18400
984.073398,17946
985.449744,18206
986.825472,18190
988.200581,18614
989.575072,18511
990.948944,18406
992.322199,18615
993.694836,18552
995.066855,18488
996.438258,18636
997.809044,18487
999.179213,18384
1000.548766,18406
1001.917703,19084
1003.286024,18592
1004.65373,18788
1006.020821,18739
1007.387297,19294
1008.753158,19429
1010.118405,19578
1011.483038,21772
1012.847057,20982
1014.210462,19825
1015.573254,19831
1016.935433,19691
1018.296999,19929
1019.657953,19828
1021.018295,19599
1022.378025,19526
1023.737143,19610
1025.095649,19579
1026.453544,19536
1027.810829,19314
1029.167503,19339
1030.523566,19561
1031.87902,19698
1033.233863,20143
1034.588097,19689
1035.941722,19904
1037.294738,19847
1038.647145,20164
1039.998943,19882
1041.350133,20325
1042.700716,20094
1044.05069,20108
1045.400057,19660
1046.748817,20192
1048.09697,20029
1049.444516,20488
1050.791456,20309
1052.13779,20710
1053.483518,20451
1054.82864,21077
1056.173157,21373
1057.517069,21633
1058.860376,21985
1060.203079,22058
1061.545177,22283
1062.886671,22241
1064.227562,22069
1065.567848,21857
1066.907532,21621
1068.246613,21762
1069.585091,22325
1070.922966,21795
1072.260239,20817
1073.596911,20471
1074.93298,20738
1076.268448,20327
1077.603315,20154
1078.937581,20343
1080.271247,19738
1081.604312,19500
1082.936776,19614
1084.268641,18893
1085.599907,18604
1086.930573,18699
1088.260639,18437
1089.590107,18480
1090.918977,18351
1092.247248,18345
1093.574921,18154
1094.901996,18419
1096.228474,18541
1097.554354,18578
1098.879637,18973
1100.204323,18991
1101.528413,19124
1102.851907,19743
1104.174804,19550
1105.497106,19695
1106.818812,19864
1108.139923,19690
1109.460439,20252
1110.78036,20165
1112.099687,20618
1113.41842,20662
1114.736558,20829
1116.054103,20968
1117.371054,21389
1118.687412,21449
1120.003177,21553
1121.318349,21773
1122.632929,21713
1123.946916,22237
1125.260312,21837
1126.573116,21775
1127.885328,21623
1129.196949,21191
1130.507979,21017
1131.818419,20507
1133.128268,20360
1134.437527,19852
1135.746195,19448
1137.054275,18969
1138.361764,18504
1139.668665,18082
1140.974976,17913
1142.280699,17871
1143.585833,17305
1144.890379,16753
1146.194337,16854
1147.497708,16529
1148.800491,16542
1150.102687,16333
1151.404295,16453
1152.705318,16461
1154.005753,16441
1155.305603,16815
1156.604866,16243
1157.903544,16339
1159.201636,16335
1160.499143,15913
1161.796065,15644
1163.092402,15850
1164.388155,15608
1165.683324,15576
1166.977908,15293
1168.271909,15075
1169.565326,15341
1170.85816,14938
1172.150411,15220
1173.44208,14665
1174.733165,14672
1176.023669,14993
1177.31359,14600
1178.60293,14600
1179.891688,14885
1181.179865,14622
1182.467461,14073
1183.754476,14435
1185.04091,14683
1186.326765,14607
1187.612039,14429
1188.896733,14671
1190.180848,14608
1191.464383,14636
1192.747339,14418
1194.029717,14799
1195.311515,14550
1196.592736,14446
1197.873378,14764
1199.153442,15058
1200.432929,14974
1201.711838,15005
1202.990171,14821
1204.267926,14990
1205.545105,14610
1206.821707,14763
1208.097733,14665
1209.373183,14737
1210.648057,14568
1211.922356,14999
1213.196079,14614
1214.469228,14847
1215.741802,14887
1217.013801,14809
1218.285226,14662
1219.556077,14304
1220.826355,14652
1222.096058,14440
1223.365189,14663
1224.633746,14423
1225.90173,14404
1227.169142,14387
1228.435982,14613
1229.702249,14662
1230.967945,14516
1232.233069,14123
1233.497621,14600
1234.761602,13847
1236.025013,14358
1237.287852,14068
1238.550121,14312
1239.81182,14279
1241.072949,14156
1242.333509,14034
1243.593498,14325
1244.852919,14448
1246.11177,14100
1247.370053,14436
1248.627767,14246
1249.884912,14429
1251.14149,14286
1252.397499,14636
1253.652942,14457
1254.907816,14373
1256.162124,14503
1257.415864,14523
1258.669038,14756
1259.921646,14663
1261.173687,14607
1262.425162,14586
1263.676071,14982
1264.926415,14897
1266.176194,15074
1267.425408,15128
1268.674056,14835
1269.92214,14905
1271.16966,14899
1272.416616,14413
1273.663008,14721
1274.908836,14538
1276.1541,14319
1277.398802,14350
1278.64294,14325
1279.886516,14155
1281.129529,14345
1282.37198,14244
1283.613869,13884
1284.855196,14127
1286.095962,13822
1287.336166,13685
1288.575809,13745
1289.814891,13965
1291.053413,13746
1292.291374,13691
1293.528775,13733
1294.765616,13653
1296.001897,13747
1297.237618,13940
1298.472781,13532
1299.707384,13691
1300.941428,13421
1302.174914,13770
1303.407842,14103
1304.640211,13568
1305.872022,13768
1307.103276,14081
1308.333972,13600
1309.564111,13726
1310.793693,13986
1312.022719,13847
1313.251187,14173
1314.4791,14376
1315.706456,14019
1316.933256,13992
1318.159501,14622
1319.38519,14227
1320.610324,14297
1321.834903,14516
1323.058928,14389
1324.282398,14424
1325.505313,14290
1326.727675,14533
1327.949482,14812
1329.170736,14681
1330.391437,14821
1331.611584,15052
1332.831179,14635
1334.050221,14827
1335.26871,14561
1336.486647,14685
1337.704032,14662
1338.920865,14684
1340.137147,14576
1341.352877,14343
1342.568056,14437
1343.782684,14594
1344.996761,14299
1346.210288,14097
1347.423265,14534
1348.635691,14417
1349.847568,14383
1351.058895,14290
1352.269673,14361
1353.479901,14373
1354.689581,14501
1355.898712,14412
1357.107294,14633
1358.315329,14315
1359.522815,14735
1360.729753,14699
1361.936144,14708
1363.141987,14727
1364.347283,14960
1365.552032,14904
1366.756235,14562
1367.959891,14528
1369.163,14690
1370.365564,14673
1371.567582,14649
1372.769054,14497
1373.96998,14413
1375.170362,14687
1376.370198,14395
1377.56949,14505
1378.768237,14053
1379.96644,14235
1381.164099,13978
1382.361214,13830
1383.557785,13785
1384.753813,13719
1385.949297,13760
1387.144239,13707
1388.338637,13436
1389.532493,13721
1390.725807,12940
1391.918579,13351
1393.110808,13242
1394.302496,12901
1395.493643,12685
1396.684248,12912
1397.874312,12896
1399.063835,12512
1400.252818,12837
1401.44126,12487
1402.629162,12303
1403.816524,12085
1405.003346,12491
1406.189629,12173
1407.375372,12218
1408.560576,12162
1409.745241,12127
1410.929368,12074
1412.112956,12335
1413.296006,12183
1414.478517,12084
1415.660491,12076
1416.841927,11770
1418.022826,11976
1419.203188,12262
1420.383012,11988
1421.5623,11699
1422.741051,11979
1423.919266,11808
1425.096945,11746
1426.274088,11942
1427.450695,12000
1428.626766,11790
1429.802302,11725
1430.977303,12089
1432.15177,11787
1433.325701,12034
1434.499098,11738
1435.671961,12011
1436.84429,11947
1438.016085,12012
1439.187347,11881
1440.358075,11693
1441.528269,11598
1442.697931,11664
1443.86706,11997
1445.035657,11507
1446.203721,11799
1447.371253,11678
1448.538253,11792
1449.704721,11751
1450.870658,12024
1452.036064,11816
1453.200938,12119
1454.365282,12283
1455.529094,12272
1456.692377,12428
1457.855129,12338
1459.017351,12628
1460.179043,12134
1461.340206,12173
1462.500839,12074
1463.660943,12065
1464.820517,12067
1465.979563,11715
1467.138081,49
1468.29607,11920
1469.453531,11133
1470.610464,11304
1471.766869,10802
1472.922746,11090
1474.078096,10898
1475.232919,10689
1476.387215,10647
1477.540985,10491
1478.694227,10249
1479.846944,10284
1480.999134,10259
1482.150798,10304
1483.301937,10274
1484.45255,10125
1485.602637,10039
1486.7522,10206
1487.901238,10179
1489.049751,10316
1490.197739,10127
1491.345203,9748
1492.492144,10079
1493.63856,9904
1494.784452,10139
1495.929821,9990
1497.074667,10043
1498.21899,10432
