Waveshift,Intensity
927.106883,16760
928.508844,16589
929.910174,16512
931.310874,16500
932.710944,16504
934.110385,16609
935.509197,16488
936.907379,16593
938.304934,16214
939.70186,16516
941.098158,16172
942.493828,16201
943.88887,16076
945.283286,16401
946.677075,16118
948.070236,16116
949.462772,16286
950.854681,16060
952.245965,16512
953.636623,15921
955.026656,15812
956.416064,15921
957.804847,15858
959.193006,15662
960.58054,16250
961.967451,15933
963.353738,16040
964.739402,16184
966.124442,15641
967.50886,15674
968.892656,16106
970.275829,15613
971.65838,15582
973.04031,15504
974.421618,15595
975.802305,15418
977.182371,16060
978.561816,15643
979.940641,15272
981.318846,16057
982.696432,15663
984.073398,15474
985.449744,15269
986.825472,15180
988.200581,15394
989.575072,15619
990.948944,15414
992.322199,15434
993.694836,15191
995.066855,15143
996.438258,15543
997.809044,15079
999.179213,15079
1000.548766,15339
1001.917703,15107
1003.286024,14955
1004.65373,14901
1006.020821,15019
1007.387297,14927
1008.753158,15299
1010.118405,14933
1011.483038,14718
1012.847057,14767
1014.210462,14711
1015.573254,14375
1016.935433,14348
1018.296999,14613
1019.657953,14489
1021.018295,14519
1022.378025,14743
1023.737143,14487
1025.095649,14340
1026.453544,14418
1027.810829,14751
1029.167503,14363
1030.523566,14323
1031.87902,14407
1033.233863,14143
1034.588097,14321
1035.941722,14091
1037.294738,14659
1038.647145,13945
1039.998943,13845
1041.350133,13818
1042.700716,13987
1044.05069,13845
1045.400057,14120
1046.748817,14092
1048.09697,13917
1049.444516,13981
1050.791456,14158
1052.13779,14121
1053.483518,14013
1054.82864,14094
1056.173157,14210
1057.517069,14187
1058.860376,13708
1060.203079,14318
1061.545177,13999
1062.886671,14071
1064.227562,14149
1065.567848,14067
1066.907532,14263
1068.246613,14295
1069.585091,14285
1070.922966,14380
1072.260239,17021
1073.596911,17215
1074.93298,14979
1076.268448,13792
1077.603315,13271
1078.937581,13848
1080.271247,13491
1081.604312,13859
1082.936776,13403
1084.268641,13823
1085.599907,13602
1086.930573,13473
1088.260639,13499
1089.590107,13235
1090.918977,13371
1092.247248,13576
1093.574921,13142
1094.901996,13495
1096.228474,13579
1097.554354,13745
1098.879637,13285
1100.204323,13730
1101.528413,13585
1102.851907,13601
1104.174804,13398
1105.497106,13536
1106.818812,13471
1108.139923,13334
1109.460439,13134
1110.78036,13163
1112.099687,13466
1113.41842,13111
1114.736558,13164
1116.054103,13261
1117.371054,13259
1118.687412,12966
1120.003177,12837
1121.318349,12730
1122.632929,12782
1123.946916,13095
1125.260312,12842
1126.573116,12674
1127.885328,12809
1129.196949,12840
1130.507979,12407
1131.818419,13035
1133.128268,12543
1134.437527,12732
1135.746195,12917
1137.054275,12861
1138.361764,12465
1139.668665,12479
1140.974976,12371
1142.280699,12324
1143.585833,12108
1144.890379,12486
1146.194337,12535
1147.497708,12227
1148.800491,12475
1150.102687,11996
1151.404295,12523
1152.705318,12057
1154.005753,12459
1155.305603,12397
1156.604866,12381
1157.903544,12347
1159.201636,12602
1160.499143,12457
1161.796065,12288
1163.092402,12228
1164.388155,12077
1165.683324,12229
1166.977908,12430
1168.271909,12313
1169.565326,12333
1170.85816,12458
1172.150411,12436
1173.44208,12330
1174.733165,12548
1176.023669,12250
1177.31359,12526
1178.60293,12656
1179.891688,12623
1181.179865,12577
1182.467461,12224
1183.754476,12117
1185.04091,12167
1186.326765,12347
1187.612039,12374
1188.896733,12431
1190.180848,12218
1191.464383,12407
1192.747339,12311
1194.029717,12576
1195.311515,12169
1196.592736,12519
1197.873378,12255
1199.153442,12463
1200.432929,12344
1201.711838,12366
1202.990171,12397
1204.267926,12431
1205.545105,12319
1206.821707,12571
1208.097733,12020
1209.373183,12300
1210.648057,12759
1211.922356,12517
1213.196079,12261
1214.469228,12454
1215.741802,12006
1217.013801,12407
1218.285226,12436
1219.556077,12476
1220.826355,12443
1222.096058,12505
1223.365189,12521
1224.633746,12063
1225.90173,12120
1227.169142,12273
1228.435982,12256
1229.702249,12206
1230.967945,11997
1232.233069,12250
1233.497621,12262
1234.761602,11757
1236.025013,11970
1237.287852,12168
1238.550121,12003
1239.81182,11386
1241.072949,11538
1242.333509,11922
1243.593498,11976
1244.852919,11881
1246.11177,11735
1247.370053,11877
1248.627767,11891
1249.884912,12142
1251.14149,11824
1252.397499,11671
1253.652942,11698
1254.907816,11639
1256.162124,11456
1257.415864,11939
1258.669038,11503
1259.921646,11795
1261.173687,11519
1262.425162,11759
1263.676071,11953
1264.926415,11803
1266.176194,11553
1267.425408,11793
1268.674056,11593
1269.92214,11730
1271.16966,12021
1272.416616,11674
1273.663008,12224
1274.908836,11842
1276.1541,11873
1277.398802,11812
1278.64294,11514
1279.886516,11695
1281.129529,11993
1282.37198,11362
1283.613869,11702
1284.855196,11716
1286.095962,11611
1287.336166,11570
1288.575809,11911
1289.814891,11207
1291.053413,11525
1292.291374,11415
1293.528775,11325
1294.765616,11463
1296.001897,11537
1297.237618,11120
1298.472781,11411
1299.707384,11520
1300.941428,11699
1302.174914,11532
1303.407842,11398
1304.640211,11189
1305.872022,11429
1307.103276,11425
1308.333972,11080
1309.564111,11241
1310.793693,11252
1312.022719,11316
1313.251187,11540
1314.4791,11591
1315.706456,11394
1316.933256,11151
1318.159501,11168
1319.38519,11167
1320.610324,11185
1321.834903,10989
1323.058928,11277
1324.282398,11322
1325.505313,11359
1326.727675,11224
1327.949482,11354
1329.170736,10982
1330.391437,11219
1331.611584,11141
1332.831179,11288
1334.050221,11368
1335.26871,11128
1336.486647,11271
1337.704032,11302
1338.920865,10805
1340.137147,11016
1341.352877,11132
1342.568056,11133
1343.782684,10902
1344.996761,10956
1346.210288,11138
1347.423265,10705
1348.635691,10730
1349.847568,10865
1351.058895,10772
1352.269673,10653
1353.479901,10654
1354.689581,10465
1355.898712,10792
1357.107294,10510
1358.315329,10812
1359.522815,10681
1360.729753,10426
1361.936144,10746
1363.141987,10636
1364.347283,10583
1365.552032,10792
1366.756235,10416
1367.959891,10129
1369.163,10579
1370.365564,10689
1371.567582,10477
1372.769054,10496
1373.96998,10354
1375.170362,10553
1376.370198,10532
1377.56949,10668
1378.768237,11022
1379.96644,10632
1381.164099,10272
1382.361214,10392
1383.557785,10585
1384.753813,10484
1385.949297,10522
1387.144239,10491
1388.338637,10307
1389.532493,10614
1390.725807,10356
1391.918579,10431
1393.110808,10637
1394.302496,10217
1395.493643,10670
1396.684248,9990
1397.874312,10259
1399.063835,10286
1400.252818,10260
1401.44126,10335
1402.629162,9971
1403.816524,10069
1405.003346,10248
1406.189629,10127
1407.375372,9939
1408.560576,10173
1409.745241,10000
1410.929368,10073
1412.112956,9887
1413.296006,10037
1414.478517,10118
1415.660491,10077
1416.841927,9964
1418.022826,10143
1419.203188,10054
1420.383012,10016
1421.5623,9980
1422.741051,10026
1423.919266,9985
1425.096945,10045
1426.274088,10131
1427.450695,10007
1428.626766,10066
1429.802302,10178
1430.977303,10002
1432.15177,9795
1433.325701,10305
1434.499098,10370
1435.671961,10120
1436.84429,10137
1438.016085,10245
1439.187347,10252
1440.358075,10078
1441.528269,10029
1442.697931,10080
1443.86706,9906
1445.035657,9734
1446.203721,10293
1447.371253,9888
1448.538253,9833
1449.704721,10250
1450.870658,10020
1452.036064,10028
1453.200938,10133
1454.365282,9874
1455.529094,9672
1456.692377,9930
1457.855129,9478
1459.017351,9700
1460.179043,9357
1461.340206,9680
1462.500839,9667
1463.660943,9338
1464.820517,9465
1465.979563,9498
1467.138081,367
1468.29607,9293
1469.453531,9757
1470.610464,9300
1471.766869,9320
1472.922746,9301
1474.078096,9274
1475.232919,9362
1476.387215,9557
1477.540985,9600
1478.694227,9240
1479.846944,9433
1480.999134,9407
1482.150798,9552
1483.301937,9205
1484.45255,9477
1485.602637,9434
1486.7522,9345
1487.901238,9542
1489.049751,9630
1490.197739,9632
1491.345203,9692
1492.492144,9376
1493.63856,9423
1494.784452,9714
1495.929821,9654
1497.074667,9572
1498.21899,10023
1499.36279,9535
1500.506067,9493
1501.648821,9663
1502.791054,9255
1503.932764,9679
1505.073953,9595
1506.21462,9584
1507.354765,9649
1508.494389,9747
1509.633492,9793
1510.772074,9603
1511.910136,9531
1513.047677,9694
1514.184698,9427
1515.321198,9590
1516.457179,9469
1517.592641,9969
1518.727582,9816
1519.862005,9577
1520.995909,9415
1522.129293,9684
1523.262159,9564
1524.394507,9716
1525.526336,9658
1526.657647,10031
1527.788441,10055
1528.918717,9705
1530.048475,10055
1531.177716,10054
1532.30644,9981
1533.434647,10047
1534.562338,10300
1535.689512,10269
1536.816169,10163
1537.942311,10374
1539.067937,10399
1540.193047,10456
1541.317642,10604
1542.441721,10405
1543.565285,10505
1544.688335,10311
1545.81087,10329
1546.93289,10553
1548.054396,10278
1549.175388,10406
1550.295866,10665
1551.41583,10740
1552.535281,10800
1553.654218,10770
1554.772643,11171
1555.890554,10690
1557.007953,10807
1558.124839,11007
1559.241213,10697
1560.357075,10879
