Frequent,Density
1222.096058,13751
1223.365189,13941
1224.633746,13958
1225.90173,13879
1227.169142,14160
1228.435982,14228
1229.702249,13851
1230.967945,13683
1232.233069,13779
1233.497621,13910
1234.761602,13484
1236.025013,13871
1237.287852,13291
1238.550121,13597
1239.81182,13749
1241.072949,13806
1242.333509,13819
1243.593498,13402
1244.852919,13689
1246.11177,13688
1247.370053,13793
1248.627767,13902
1249.884912,13753
1251.14149,13660
1252.397499,13990
1253.652942,13734
1254.907816,14069
1256.162124,13938
1257.415864,14100
1258.669038,14203
1259.921646,13887
1261.173687,14301
1262.425162,14425
1263.676071,14468
1264.926415,14549
1266.176194,14407
1267.425408,14482
1268.674056,14253
1269.92214,14286
1271.16966,14445
1272.416616,13951
1273.663008,14129
1274.908836,13561
1276.1541,13883
1277.398802,13579
1278.64294,13625
1279.886516,13756
1281.129529,13789
1282.37198,13237
1283.613869,13448
1284.855196,13378
1286.095962,13288
1287.336166,12915
1288.575809,13149
1289.814891,13128
1291.053413,13203
1292.291374,13222
1293.528775,13168
1294.765616,12946
1296.001897,13136
1297.237618,13085
1298.472781,13179
1299.707384,13168
1300.941428,13255
1302.174914,13288
1303.407842,13248
1304.640211,13168
1305.872022,13158
1307.103276,13189
1308.333972,13486
1309.564111,13594
1310.793693,13628
1312.022719,13621
1313.251187,13675
1314.4791,13607
1315.706456,13901
1316.933256,13920
1318.159501,13650
1319.38519,14161
1320.610324,14168
1321.834903,14265
1323.058928,14222
1324.282398,14295
1325.505313,14181
1326.727675,14364
1327.949482,14378
1329.170736,14415
1330.391437,14356
1331.611584,14509
1332.831179,14366
1334.050221,14273
1335.26871,14166
1336.486647,14304
1337.704032,14423
1338.920865,14203
1340.137147,14235
1341.352877,14181
1342.568056,14202
1343.782684,14051
1344.996761,13967
1346.210288,13948
1347.423265,13944
1348.635691,13777
1349.847568,13713
1351.058895,13607
1352.269673,13942
1353.479901,13966
1354.689581,14177
1355.898712,14086
1357.107294,14088
1358.315329,13947
1359.522815,14243
1360.729753,14207
1361.936144,14297
1363.141987,14286
1364.347283,14276
1365.552032,14643
1366.756235,14171
1367.959891,14490
1369.163,14167
1370.365564,14142
1371.567582,14002
1372.769054,14362
1373.96998,14211
1375.170362,13844
1376.370198,13741
1377.56949,13503
1378.768237,13461
1379.96644,13859
1381.164099,13374
1382.361214,13536
1383.557785,13458
1384.753813,13314
1385.949297,13185
1387.144239,13227
1388.338637,12996
1389.532493,13255
1390.725807,12989
1391.918579,12780
1393.110808,12663
1394.302496,12862
1395.493643,12096
1396.684248,12583
1397.874312,12136
1399.063835,12243
1400.252818,12103
1401.44126,12182
1402.629162,12129
1403.816524,11706
1405.003346,11803
1406.189629,11926
1407.375372,11941
1408.560576,11587
1409.745241,11685
1410.929368,11740
1412.112956,11563
1413.296006,11881
1414.478517,11526
1415.660491,11248
1416.841927,11868
1418.022826,11596
1419.203188,11134
1420.383012,11421
1421.5623,11448
1422.741051,11252
1423.919266,11590
1425.096945,11523
1426.274088,11446
1427.450695,11678
1428.626766,11532
1429.802302,11163
1430.977303,11263
1432.15177,11539
1433.325701,11273
1434.499098,11644
1435.671961,11415
1436.84429,11085
1438.016085,11400
1439.187347,11556
1440.358075,11250
1441.528269,11453
1442.697931,11531
1443.86706,11386
1445.035657,11094
1446.203721,11463
1447.371253,11460
1448.538253,11398
1449.704721,11673
1450.870658,11429
1452.036064,11378
1453.200938,11596
1454.365282,11705
1455.529094,11943
1456.692377,12243
1457.855129,11801
1459.017351,12122
1460.179043,11807
1461.340206,11318
1462.500839,11542
1463.660943,11844
1464.820517,11479
1465.979563,11597
1467.138081,44
1468.29607,11095
1469.453531,11176
1470.610464,11123
1471.766869,10888
1472.922746,10142
1474.078096,10492
1475.232919,10590
1476.387215,10407
1477.540985,10136
1478.694227,10137
1479.846944,10264
1480.999134,9995
1482.150798,9995
1483.301937,10050
1484.45255,10041
1485.602637,9958
1486.7522,9905
1487.901238,9680
1489.049751,9923
1490.197739,9715
1491.345203,9637
1492.492144,9841
1493.63856,9986
1494.784452,9981
1495.929821,10010
1497.074667,10051
1498.21899,10010
1499.36279,9669
1500.506067,9862
1501.648821,9997
1502.791054,10024
1503.932764,9895
1505.073953,10275
1506.21462,9791
1507.354765,9774
1508.494389,9878
1509.633492,9804
1510.772074,10055
1511.910136,10009
1513.047677,9591
1514.184698,9743
1515.321198,9958
1516.457179,9863
1517.592641,9682
1518.727582,10107
1519.862005,9874
1520.995909,9927
1522.129293,10115
1523.262159,10319
1524.394507,10147
1525.526336,10217
1526.657647,9835
1527.788441,10115
1528.918717,10321
1530.048475,10266
1531.177716,10345
1532.30644,10377
1533.434647,10543
1534.562338,10633
1535.689512,10357
1536.816169,10605
1537.942311,11009
1539.067937,10722
1540.193047,10583
1541.317642,10584
1542.441721,10957
1543.565285,10733
1544.688335,10663
1545.81087,10753
1546.93289,11012
1548.054396,11047
1549.175388,10934
1550.295866,10804
1551.41583,11272
1552.535281,11334
1553.654218,11088
1554.772643,11161
1555.890554,11500
1557.007953,11484
1558.124839,11097
1559.241213,11136
1560.357075,11354
1561.472424,11490
1562.587262,11748
1563.701589,11513
1564.815404,11608
1565.928708,11357
1567.041501,11929
1568.153783,11658
1569.265555,11791
1570.376816,11970
1571.487567,11497
1572.597808,11780
1573.707539,12369
1574.816761,12380
1575.925473,12067
1577.033676,12300
1578.14137,12576
1579.248555,12117
1580.355231,12466
1581.461399,12628
1582.567059,12610
1583.672211,12632
1584.776854,12838
1585.88099,13011
1586.984619,12960
1588.08774,13117
1589.190354,13066
1590.292462,13313
1591.394062,13506
1592.495156,13606
1593.595744,13594
1594.695825,13845
1595.795401,13739
1596.89447,13959
1597.993034,13885
1599.091093,13983
1600.188647,14579
1601.285695,14733
1602.382239,14424
1603.478278,14960
1604.573812,14958
1605.668843,14944
1606.763369,15253
1607.857391,15594
1608.95091,15786
1610.043925,15687
1611.136437,15736
1612.228446,15913
1613.319952,16595
1614.410955,16237
1615.501455,16209
1616.591453,16004
1617.680949,16815
1618.769943,16937
1619.858435,16775
1620.946426,16913
1622.033915,17054
1623.120903,17146
1624.20739,17564
1625.293376,17582
1626.378861,17607
1627.463845,17749
1628.54833,17667
1629.632314,17852
1630.715799,17563
1631.798783,17948
1632.881268,18038
1633.963254,17608
1635.04474,17806
1636.125728,17825
1637.206216,18084
1638.286206,17683
1639.365698,17600
1640.444691,17955
1641.523187,17658
1642.601184,17458
1643.678683,17875
1644.755686,17770
1645.83219,17665
1646.908198,17487
1647.983708,17721
1649.058722,16924
1650.133239,17107
1651.20726,17301
1652.280785,17111
1653.353813,16953
1654.426346,17174
1655.498383,16805
1656.569924,16894
1657.64097,16397
1658.711521,16550
1659.781577,16395
1660.851139,16076
1661.920205,15881
1662.988777,16033
1664.056855,15823
1665.124439,15617
1666.191529,15594
1667.258126,15214
1668.324229,15284
1669.389838,14829
1670.454955,14978
1671.519578,14583
1672.583709,14241
1673.647347,14576
1674.710493,13874
1675.773147,14039
1676.835308,13434
1677.896978,13327
1678.958155,13350
1680.018842,12905
1681.079037,12935
1682.138741,12393
1683.197954,12103
1684.256676,11879
1685.314908,11613
1686.372649,11734
1687.4299,11581
1688.48666,11196
1689.542931,11433
1690.598713,10847
1691.654004,10873
1692.708807,10453
1693.76312,10572
1694.816944,10407
1695.870279,10154
1696.923126,10382
1697.975484,9843
1699.027354,9796
1700.078736,9750
1701.12963,9587
1702.180036,9373
1703.229955,9351
1704.279386,9174
1705.32833,9219
1706.376787,9094
1707.424757,8666
1708.47224,8844
1709.519237,8689
1710.565748,8280
1711.611772,8129
1712.65731,8007
1713.702363,8062
1714.74693,8029
1715.791011,7960
1716.834608,7747
1717.877719,7676
1718.920345,7561
1719.962486,7442
1721.004143,7626
1722.045316,7506
