Waveshift,Intensity
1867.003759,3141
1867.976485,2841
1868.948751,2492
1869.920556,2713
1870.891902,2806
1871.862789,2402
1872.833216,2660
1873.803183,2536
1874.772691,2390
1875.741741,2387
1876.710331,2331
1877.678463,2421
1878.646136,2368
1879.613351,2524
1880.580108,2755
1881.546406,2493
1882.512247,2410
1883.47763,2549
1884.442555,2694
1885.407023,2525
1886.371033,2540
1887.334586,2324
1888.297683,2486
1889.260322,2566
1890.222505,2634
1891.184231,2287
1892.145501,2338
1893.106315,2377
1894.066673,2552
1895.026574,2397
1895.98602,2405
1896.945011,2430
1897.903546,2582
1898.861626,2286
1899.81925,2466
1900.77642,2282
1901.733135,2477
1902.689395,2246
1903.6452,2571
1904.600551,2133
1905.555448,2668
1906.509891,2360
1907.46388,2318
1908.417416,2703
1909.370498,2684
1910.323126,2757
1911.275301,2549
1912.227023,2526
1913.178292,2463
1914.129108,2524
1915.079471,2528
1916.029382,2748
1916.97884,2559
1917.927846,2329
1918.876401,2356
1919.824503,2566
1920.772153,2635
1921.719352,2623
1922.6661,2458
1923.612396,2333
1924.558241,2548
1925.503635,2483
1926.448578,2481
1927.39307,2710
1928.337112,2548
1929.280703,2582
1930.223844,2813
1931.166535,2264
1932.108776,2501
1933.050568,2553
1933.991909,2949
1934.932801,2466
1935.873244,2605
1936.813238,2668
1937.752782,2454
1938.691878,2550
1939.630525,2571
1940.568723,2544
1941.506473,2649
1942.443774,2720
1943.380627,2339
1944.317033,2709
1945.25299,2648
1946.1885,2732
1947.123562,2683
1948.058177,2505
1948.992344,2798
1949.926065,2680
1950.859338,2706
1951.792165,2803
1952.724545,2730
1953.656478,2483
1954.587965,3046
1955.519006,2574
1956.4496,2787
1957.379749,2770
1958.309452,2357
1959.238709,2544
1960.167521,2432
1961.095888,2867
1962.023809,2620
1962.951285,2560
1963.878317,2420
1964.804903,2427
1965.731045,2493
1966.656743,2744
1967.581996,2305
1968.506805,2706
1969.43117,2681
1970.355091,2554
1971.278568,2528
1972.201602,2666
1973.124192,2791
1974.046339,2624
1974.968043,2898
1975.889304,2787
1976.810122,2531
1977.730498,2531
1978.65043,2598
1979.569921,2604
1980.488969,2801
1981.407574,2321
1982.325738,2459
1983.24346,2679
1984.160741,2546
1985.077579,2642
1985.993977,2752
1986.909933,2699
1987.825448,2617
1988.740522,2654
1989.655155,2474
1990.569347,2428
1991.483099,2783
1992.396411,2800
1993.309282,2564
1994.221713,2501
1995.133704,2817
1996.045256,2799
1996.956367,2582
1997.867039,2614
1998.777272,2686
1999.687065,2438
2000.596419,2697
2001.505335,2656
2002.413811,2816
2003.321849,2881
2004.229448,2644
2005.136609,2694
2006.043331,2604
2006.949616,2670
2007.855462,2562
2008.760871,2795
2009.665841,2858
2010.570375,2736
2011.47447,2684
2012.378129,2921
2013.281351,2861
2014.184135,2909
2015.086483,2560
2015.988393,2598
2016.889868,2534
2017.790906,2838
2018.691507,2716
2019.591673,2527
2020.491402,3008
2021.390695,2649
2022.289553,2783
2023.187975,2883
2024.085962,2637
2024.983514,2715
2025.88063,2990
2026.777311,2901
2027.673557,2909
2028.569369,2774
2029.464746,2905
2030.359688,3185
2031.254197,2834
2032.148271,2828
2033.04191,2912
2033.935116,2698
2034.827889,2886
2035.720227,2918
2036.612132,2784
2037.503604,2747
2038.394642,3005
2039.285248,2866
2040.17542,2799
2041.06516,2766
2041.954466,2855
2042.843341,2584
2043.731783,2895
2044.619792,2959
2045.50737,2630
2046.394516,2615
2047.281229,3017
2048.167511,2713
2049.053362,2751
2049.938781,2607
2050.823768,2815
2051.708325,2772
2052.59245,2982
2053.476145,2765
2054.359409,2883
2055.242242,2987
2056.124645,2593
2057.006617,2872
2057.888159,2388
2058.769271,2741
2059.649953,2795
2060.530206,2616
2061.410028,2804
2062.289421,2594
2063.168385,2832
2064.046919,2455
2064.925025,2563
2065.802701,2807
2066.679949,2625
2067.556767,2794
2068.433157,3023
2069.309119,2993
2070.184652,2577
2071.059758,2714
2071.934435,2840
2072.808684,2569
2073.682505,2958
