Frequency,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density
ramanShift,DM201,DM202,DM203,DM204,DM205,DM206,DM207,DM208,DM209,DM210,DM211,Ctrl01,Ctrl02,Ctrl03,Ctrl04,Ctrl05,Ctrl06,Ctrl07,Ctrl08,Ctrl09
72,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
73,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
74,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
75,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
76,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
77,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
78,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
79,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
80,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
81,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
82,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
83,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
84,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
85,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
86,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
87,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
88,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
89,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
90,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
91,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
92,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
93,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
94,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
95,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
96,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
97,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
98,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
99,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
100,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
101,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
102,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
103,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
104,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
105,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
106,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
107,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
108,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
109,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
110,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
111,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
112,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
113,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
114,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
115,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
116,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
117,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
118,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
119,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
120,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
121,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
